OJH01224.1	PF03773	4	292	pfam	2.0692978418339985e-65	0.9829931972789115
OJH01225.1	PF01022	28	77	pfam	4.100366946367251e-17	0.4716981132075472
OJH01227.1	PF06953	1	115	pfam	7.266119749234514e-43	1.0
OJH01228.1	PF02374	20	303	pfam	1.0840379697128222e-61	0.4930555555555556
OJH01228.1	PF02374	332	575	pfam	3.9215290091339163e-32	0.2725694444444444
OJH01229.1	PF01022	15	61	pfam	4.152952597914803e-19	0.4519230769230769
OJH01230.1	PF02040	4	426	pfam	1.3539855364334548e-195	0.986013986013986
OJH01231.1	PF01451	6	129	pfam	8.656478811922107e-29	0.9465648854961832
OJH01233.1	PF16475	2	114	pfam	2.0542431317500083e-06	0.5748031496062992
OJH01235.1	PF00488	350	532	pfam	1.394971716777014e-32	0.34398496240601506
OJH01236.1	PF00359	484	621	pfam	3.9570916678702404e-24	0.2222222222222222
OJH01236.1	PF00874	284	374	pfam	8.599398057997131e-26	0.14653784219001612
OJH01236.1	PF08279	4	61	pfam	6.4624349640720955e-15	0.09339774557165861
OJH01236.1	PF08280	88	140	pfam	1.5815100546885244e-06	0.0853462157809984
OJH01236.1	PF00874	183	270	pfam	0.0003217842029094069	0.14170692431561996
OJH01237.1	PF02378	132	407	pfam	3.1007391083197926e-32	0.416289592760181
OJH01237.1	PF00359	519	663	pfam	8.497292294188338e-45	0.2187028657616893
OJH01237.1	PF02302	4	95	pfam	3.0674588576318543e-23	0.138763197586727
OJH01238.1	PF20511	2	121	pfam	1.0390221152014664e-30	0.38095238095238093
OJH01238.1	PF21621	234	312	pfam	2.794650529727871e-25	0.2507936507936508
OJH01238.1	PF07883	147	174	pfam	4.5038428755507914e-07	0.08888888888888889
OJH01240.1	PF09827	1	80	pfam	2.935269202314072e-21	0.7843137254901961
OJH01241.1	PF01867	6	238	pfam	1.9928921152185996e-31	0.7740863787375415
OJH01243.1	PF07799	21	158	pfam	3.7592032317628206e-32	0.8165680473372781
OJH01244.1	PF06106	2	112	pfam	1.0361412009993615e-50	0.9910714285714286
OJH01245.1	PF00239	5	155	pfam	4.2672286476585463e-35	0.2701252236135957
OJH01245.1	PF07508	180	286	pfam	6.1246055745316504e-27	0.19141323792486584
OJH01245.1	PF13408	299	366	pfam	4.1896438890886685e-15	0.12164579606440072
OJH01246.1	PF19263	244	357	pfam	1.9769440462305096e-20	0.21189591078066913
OJH01248.1	PF00476	29	358	pfam	2.214962136627972e-12	0.6711956521739131
OJH01250.1	PF19504	183	396	pfam	2.6989242752928127e-16	0.34516129032258064
OJH01250.1	PF19504	513	606	pfam	0.006986697782787433	0.15161290322580645
OJH01251.1	PF03176	44	362	pfam	1.1600450425741487e-64	0.3572228443449048
OJH01251.1	PF03176	388	701	pfam	6.365629917082988e-44	0.3516237402015677
OJH01252.1	PF04069	45	299	pfam	5.600593739884495e-57	0.8121019108280255
OJH01253.1	PF14278	78	182	pfam	8.077713945185259e-19	0.5555555555555556
OJH01253.1	PF00440	18	58	pfam	1.8348200965629398e-10	0.21693121693121692
OJH01254.1	PF13610	1	101	pfam	4.109653803385718e-21	0.8347107438016529
OJH01255.1	PF02517	116	215	pfam	8.652508873786416e-23	0.36764705882352944
OJH01256.1	PF02590	1	158	pfam	5.0700401102031e-65	0.9937106918238994
OJH01299.1	PF18061	477	603	pfam	4.080567805794537e-46	0.16955941255006676
OJH01299.1	PF21574	666	728	pfam	5.71000914814109e-24	0.08411214953271028
OJH01299.1	PF13395	230	285	pfam	2.017181704882546e-24	0.07476635514018691
OJH01299.1	PF18541	332	480	pfam	4.8318921989714795e-14	0.08277703604806408
OJH01299.1	PF18070	607	663	pfam	1.949176964032526e-18	0.07610146862483311
OJH01301.1	PF01381	7	61	pfam	2.615732740460522e-23	0.5045871559633027
WP_000456194.1	PF02583	3	84	pfam	4.677368865687766e-27	0.9534883720930233
WP_001830569.1	PF01022	15	61	pfam	4.0904155362317884e-19	0.4519230769230769
WP_002449341.1	PF02518	485	599	pfam	1.9717754724947443e-35	0.18914473684210525
WP_002449341.1	PF00512	374	441	pfam	5.537965353517665e-23	0.1118421052631579
WP_002449341.1	PF14827	33	185	pfam	1.5786124982496672e-10	0.25164473684210525
WP_002449341.1	PF00989	262	365	pfam	4.789692803686615e-12	0.17105263157894737
WP_002449341.1	PF00672	200	252	pfam	2.3555595964096034e-19	0.08717105263157894
WP_002449507.1	PF03796	185	457	pfam	9.362027205369233e-120	0.5858369098712446
WP_002449507.1	PF00772	9	111	pfam	4.743186120907432e-38	0.22103004291845493
WP_002454564.1	PF00072	5	114	pfam	2.2353053762431823e-35	0.4721030042918455
WP_002454564.1	PF00486	153	229	pfam	1.152923015784802e-33	0.33047210300429186
WP_002479864.1	PF02706	5	95	pfam	1.8893476811622694e-19	0.3922413793103448
WP_002479865.1	PF04023	4	75	pfam	1.220480988937123e-16	0.9230769230769231
WP_002479867.1	PF12669	5	47	pfam	8.77593068546837e-13	0.7288135593220338
WP_002479869.1	PF00149	3	186	pfam	4.688451269238572e-22	0.9108910891089109
WP_002479873.1	PF01566	45	379	pfam	6.496222412062952e-32	0.8190709046454768
WP_002479878.1	PF02682	1	203	pfam	6.092335089862278e-77	0.8353909465020576
WP_002479879.1	PF13303	19	354	pfam	1.0944304961201367e-99	0.9438202247191011
